,Model,accuracy,confusion,f1,precision,recall,train_size
125,SVM BoW,0.86890756302521,"[[2.628e+02 3.800e+00 1.920e+01 8.200e+00 3.600e+00]
 [5.000e+00 2.636e+02 4.400e+00 5.200e+00 3.600e+00]
 [2.300e+01 6.600e+00 1.348e+02 2.300e+01 4.600e+00]
 [1.060e+01 3.800e+00 3.660e+01 2.890e+02 2.000e-01]
 [4.200e+00 4.800e+00 4.000e-01 8.000e-01 1.872e+02]]",0.8625134745029376,0.8619889820160413,0.864196472725348,1040
126,SVM TFIDF,0.876394194041253,"[[267.6   4.8  19.2   7.8   3.2]
 [  5.8 265.4   4.8   5.2   3.4]
 [ 18.    4.  130.2  17.6   2.4]
 [  9.4   4.   39.4 294.2   0.4]
 [  4.8   4.4   1.8   1.4 189.8]]",0.8685517721268716,0.8674069401356874,0.8723042887177147,1040
127,SVM W2V,0.5428571428571428,"[[175.8  30.8  53.2  35.6  32. ]
 [ 47.8 186.2  27.4  37.   36.2]
 [ 11.4   6.8  33.2  12.4  11.4]
 [ 47.8  41.4  64.4 221.   25.2]
 [ 22.8  17.4  17.2  20.2  94.4]]",0.5039218236671796,0.5121251566877303,0.5313409973580684,1040
128,SVM Hybrid,0.8718105423987776,"[[2.680e+02 6.000e+00 1.960e+01 9.200e+00 4.000e+00]
 [5.400e+00 2.600e+02 4.800e+00 5.400e+00 4.000e+00]
 [1.780e+01 4.000e+00 1.336e+02 1.880e+01 3.000e+00]
 [9.800e+00 7.600e+00 3.720e+01 2.918e+02 4.000e-01]
 [4.600e+00 5.000e+00 2.000e-01 1.000e+00 1.878e+02]]",0.8657199467303774,0.8637804391472141,0.8693001612689292,1040
129,SVM Hybrid B,0.8647822765469824,"[[262.8   4.8  18.4  10.    3. ]
 [  5.8 260.6   4.4   4.    3.4]
 [ 21.2   6.4 135.8  24.8   5. ]
 [ 11.4   5.4  36.2 285.8   0.8]
 [  4.4   5.4   0.6   1.6 187. ]]",0.8590665076679878,0.8587195223093467,0.8603499597933648,1040
130,SVM BoW,0.8669818754925138,"[[256.    3.8  18.8   8.4   3.4]
 [  5.  255.2   4.4   4.8   3. ]
 [ 22.4   6.4 131.4  23.2   4.4]
 [ 10.6   4.2  35.4 274.8   0.8]
 [  3.8   4.6   0.4   1.  182.8]]",0.8610471124842454,0.8606679092612657,0.86273138855084,1080
131,SVM TFIDF,0.8734436564223799,"[[2.606e+02 5.600e+00 1.880e+01 8.000e+00 3.000e+00]
 [5.200e+00 2.554e+02 4.600e+00 5.000e+00 3.400e+00]
 [1.700e+01 4.200e+00 1.266e+02 1.640e+01 2.400e+00]
 [1.020e+01 4.200e+00 3.880e+01 2.804e+02 2.000e-01]
 [4.800e+00 4.800e+00 1.600e+00 2.400e+00 1.854e+02]]",0.8659676864330359,0.8650307939372232,0.869980740666597,1080
132,SVM W2V,0.5448384554767534,"[[169.6  30.2  52.   31.8  30. ]
 [ 46.4 182.4  26.   34.6  35.4]
 [ 10.    5.6  33.   12.6  10.8]
 [ 49.6  40.6  63.  214.   25.8]
 [ 22.2  15.4  16.4  19.2  92.4]]",0.5068855401827967,0.5149185906416985,0.5364335996953388,1080
133,SVM Hybrid,0.8713947990543736,"[[261.4   6.8  19.8   8.4   3. ]
 [  5.6 252.2   4.6   5.4   4.4]
 [ 16.6   3.2 128.8  17.2   3. ]
 [  9.8   6.4  36.8 279.8   0.4]
 [  4.4   5.6   0.4   1.4 183.6]]",0.8648940278099646,0.8632639385471915,0.8688586586116273,1080
134,SVM Hybrid B,0.8633569739952719,"[[256.2   4.4  18.   10.6   2.8]
 [  5.8 253.    3.8   3.8   3.8]
 [ 19.2   5.8 131.   23.    4.6]
 [ 12.2   5.4  37.  273.    0.8]
 [  4.4   5.6   0.6   1.8 182.4]]",0.8576784669392252,0.8572247626775574,0.8594529275489549,1080
