,Model,accuracy,confusion,f1,precision,recall,train_size
106,LSTM W2V,0.9877068557919622,"[[3.076e+02 0.000e+00 0.000e+00 2.000e-01 3.000e+00]
 [2.200e+00 2.960e+02 0.000e+00 4.000e-01 4.000e+00]
 [0.000e+00 0.000e+00 2.742e+02 1.000e+00 0.000e+00]
 [0.000e+00 4.000e-01 0.000e+00 1.922e+02 0.000e+00]
 [2.400e+00 1.400e+00 0.000e+00 6.000e-01 1.834e+02]]",0.9869497273475881,0.9862743291428042,0.9877065525847089,1080
107,LSTM Hybrid,0.9889676910953508,"[[308.4   0.    0.    0.    3.4]
 [  1.  296.2   0.    0.4   2.8]
 [  0.    0.  274.2   1.    1. ]
 [  0.    0.4   0.  193.    0. ]
 [  2.8   1.2   0.    0.  183.2]]",0.9881643370631039,0.9875494264644006,0.9888444601257469,1080
108,LSTM BoW,0.9816110659072417,"[[2.986e+02 1.800e+00 4.000e-01 0.000e+00 3.400e+00]
 [1.200e+00 2.840e+02 6.000e-01 4.000e-01 6.000e+00]
 [0.000e+00 0.000e+00 2.630e+02 2.200e+00 1.000e+00]
 [0.000e+00 1.400e+00 4.000e-01 1.858e+02 0.000e+00]
 [2.000e+00 1.400e+00 2.000e-01 2.000e-01 1.750e+02]]",0.980621705231416,0.9794508566367217,0.9820081110245976,1120
109,LSTM TFIDF,0.9803091944670465,"[[297.8   2.    0.8   0.    5.8]
 [  1.6 283.4   0.6   0.4   5. ]
 [  0.4   1.  262.8   1.4   0.6]
 [  0.    1.4   0.4 186.8   0. ]
 [  2.    0.8   0.    0.  174. ]]",0.9797202324100113,0.9783113433322794,0.981428368224153,1120
110,LSTM W2V,0.9890968266883645,"[[2.996e+02 0.000e+00 0.000e+00 2.000e-01 2.400e+00]
 [1.000e+00 2.880e+02 2.000e-01 4.000e-01 4.600e+00]
 [2.000e-01 2.000e-01 2.644e+02 1.000e+00 8.000e-01]
 [0.000e+00 4.000e-01 0.000e+00 1.860e+02 0.000e+00]
 [1.000e+00 0.000e+00 0.000e+00 1.000e+00 1.776e+02]]",0.9881830567770956,0.9868018071891868,0.9897268234055547,1120
111,LSTM Hybrid,0.988445890968267,"[[2.984e+02 0.000e+00 0.000e+00 0.000e+00 2.200e+00]
 [1.400e+00 2.872e+02 0.000e+00 4.000e-01 4.400e+00]
 [0.000e+00 0.000e+00 2.644e+02 1.000e+00 8.000e-01]
 [0.000e+00 4.000e-01 2.000e-01 1.868e+02 0.000e+00]
 [2.000e+00 1.000e+00 0.000e+00 4.000e-01 1.780e+02]]",0.9875769225746434,0.9867298075284495,0.9885470640720833,1120
112,LSTM BoW,0.9836837678721615,"[[2.878e+02 1.000e+00 0.000e+00 2.000e-01 2.800e+00]
 [1.000e+00 2.776e+02 6.000e-01 4.000e-01 5.600e+00]
 [0.000e+00 2.000e-01 2.558e+02 1.800e+00 1.000e+00]
 [0.000e+00 1.600e+00 4.000e-01 1.802e+02 0.000e+00]
 [1.200e+00 1.400e+00 0.000e+00 2.000e-01 1.682e+02]]",0.9826424517395974,0.981480465118398,0.9840299580667485,1160
113,LSTM TFIDF,0.9821698906644238,"[[287.2   2.8   1.    0.    4.6]
 [  1.4 276.4   0.6   0.4   3.4]
 [  0.    0.  254.8   1.6   1. ]
 [  0.    0.8   0.4 180.8   0. ]
 [  1.4   1.8   0.    0.  168.6]]",0.981635463252968,0.9804639689907708,0.9829864190714541,1160
114,LSTM W2V,0.990748528174937,"[[2.878e+02 0.000e+00 0.000e+00 0.000e+00 4.000e-01]
 [1.000e+00 2.814e+02 4.000e-01 4.000e-01 4.000e+00]
 [2.000e-01 0.000e+00 2.564e+02 1.000e+00 1.000e+00]
 [0.000e+00 4.000e-01 0.000e+00 1.804e+02 2.000e-01]
 [1.000e+00 0.000e+00 0.000e+00 1.000e+00 1.720e+02]]",0.9899384567523908,0.9889949968716367,0.990986157213255,1160
115,LSTM Hybrid,0.9897392767031119,"[[2.868e+02 0.000e+00 2.000e-01 0.000e+00 2.400e+00]
 [2.000e+00 2.812e+02 0.000e+00 4.000e-01 3.400e+00]
 [0.000e+00 2.000e-01 2.562e+02 1.000e+00 0.000e+00]
 [0.000e+00 4.000e-01 0.000e+00 1.814e+02 6.000e-01]
 [1.200e+00 0.000e+00 4.000e-01 0.000e+00 1.712e+02]]",0.9892145683162449,0.9882775010115047,0.9902993176255883,1160
